Use,Species,species.alt,Species.no.ssp,code,new.code,accept.code,family,group,nat.inv,Heteromorphic,Heteromorphic.ref,Heteromorphic.Notes,Fruit Type,germinule.equal.dispersule.,germ.disp.notes,germ.disp.ref,dormancy.type,dorm.notes
y,Carduus pycnocephalus,,Carduus pycnocephalus,CARPYC,CARPYC,CAPY2,Asteraceae,forb,invasive,n,Jepson eflora ,"Fruit: 4--6 mm, golden to brown; veins 20; pappus 10--15 mm. ",achene,y,,,PD/ND,genus
y,Centaurea melitensis,,Centaurea melitensis,CENMEL,CENMEL,CEME2,Asteraceae,forb,invasive,n,Jepson eflora,"Fruit: +- 2.5 mm, +- light brown, finely hairy; pappus bristles 2.5--3 mm, white. ",achene,n,,,PD,genus
y,Centaurea solstitialis,,Centaurea solstitialis,CENSOL,CENSOL,CESO3,Asteraceae,forb,invasive,y,Jepson eflora,"Fruit: 2--3 mm, glabrous; outer fruit dark brown, pappus 0; inner fruit +- mottled light brown, pappus bristles 2--4 mm, fine, white.",achene,y,,,PD,genus
y,Chaenactis artemisiifolia,,Chaenactis artemisiifolia,CHAART,CHAART,CHAR,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 4--7 mm, compressed; pappus 0 or crown-like, scales +- 10, <= 0.5 mm. ",achene,na,"y if no pappus, n if pappus",,,
y,Chaenactis carphoclinia,,Chaenactis carphoclinia,CHACAR,CHACAR,CHCA,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 3--4.5 mm; inner fruit pappus generally of 4 scales in 1 series, longest 3--5 mm.",achene,n,,,,
y,Chaenactis fremontii,,Chaenactis fremontii,CHAFRE,CHAFRE,CHFR,Asteraceae,forb,native,n,Jepson eflora,"Fruit: (3)6--8 mm; inner fruit pappus of 4 scales in 1 series, longest 6--8.5 mm, tips visible among buds. ",achene,n,,,,
y,Chaenactis glabriuscula,,Chaenactis glabriuscula,CHAGLA,CHAGLA,CHGL,Asteraceae,forb,native,y,Jepson eflora*,"Fruit: 3--9 mm; inner fruit pappus generally of 4 scales in 1 series, or (7)8 scales in 2 unequal series, outer << inner, longest (1)2--8 mm.",achene,n,,,,
y,Chaenactis stevioides,,Chaenactis stevioides,CHASTE,CHASTE,CHST,Asteraceae,forb,native,n,Jepson eflora,"Fruit: (3)4--6.5 mm; inner fruit pappus of 4 scales in 1 series (sometimes a 5th outer scale << inner), longest 1.5--6 mm, tips hidden among buds.",achene,n,,,,
y,Deinandra fasciculata,Hemizonia fasciculata,Deinandra fasciculata,DEIFAS,DEIFAS,HEFA,Asteraceae,forb,native,y,Jepson eflora," Fruit: ray nearly round in ×-section (except +- flattened adaxially) or +- 3-angled (abaxially generally +- widely 2-faced, adaxially +- flattened to slightly bulging), generally +- arched, glabrous, tip +- beaked, beak offset adaxially, ascending, pappus 0; disk fruit generally 0, disk pappus generally of 1--15 generally linear to lanceolate, entire or fringed to deeply cut scales, sometimes 0 or crown-like.",achene,na,"disc seed no, ray seed yyes",,,
y,Eriophyllum lanosum,,Eriophyllum lanosum,ERILAN,ERILAN,ANLA7,Asteraceae,forb,native,n,Jepson eflora,"Ray Flower: 8--10; ray 3--7 mm, oblong, white, occasionally red-veined. Disk Flower: many; corolla 2--3 mm, glabrous; anther tip awl-like, glabrous. Fruit: 2.5--4.5 mm, linear or narrowly club-like, glabrous to minutely strigose; pappus scales 0.5--2.5 mm, generally unequal, longest awned.",achene,n,,,PD,
y,Eriophyllum wallacei,,Eriophyllum wallacei,ERIWAL,ERIWAL,ANWA,Asteraceae,forb,native,n,Jepson eflora,"Ray Flower: 5--10; ray 3--4 mm, yellow, occasionally cream-white. Disk Flower: many; corolla 2--3 mm, throat minutely puberulent; anther tip awl-like, glabrous. Fruit: +- 2 mm, narrowly club-shaped, glabrous or minutely strigose; pappus (0)0.4--0.8 mm.",achene,y,,,PD,
y,Evax multicaulis,"Evax verna var. verna, Diaperia verna",Evax multicaulis,EVAMUL,EVAMUL,EVVEV,Asteraceae,forb,native,n,SEINet,"Cypselae rounded, ± terete, mostly 0.7-0.9 mm.",achene,y,,,PD,
y,Geraea canescens,,Geraea canescens,GERCAN,GERCAN,GECA2,Asteraceae,forb,native,n,Jepson eflora,Fruit: 6--7 mm; pappus awns 3--4 mm.,achene,n,,,PD,
y,Helianthus annuus,,Helianthus annuus,HELANN,HELANN,HEAN3,Asteraceae,forb,native,n,Jepson eflora,"Fruit: (3)4--5(15) mm; main pappus scales 2, lanceolate, 2--3.5 mm, smaller scales 0--4, obtuse",achene,n,,,PD,
y,Helianthus deserticola,,Helianthus deserticola,HELDES,HELDES,HEAN4,Asteraceae,forb,native,n,SEINet,"Cypselae: 4-5 mm, pilose; pappi usually of 2 linear scales 1.6-2.5 mm plus 4-6 linear or ovate, erose scales 0.5-1 mm.",achene,n,,,PD,genus
y,Helianthus niveus,,Helianthus niveus,HELNIV,HELNIV,HENI3,Asteraceae,forb,native,n,Jepson eflora,"ray flowers sterile; oblanceolate to obovate, +- compressed, sides rounded; pappus generally of 2 deciduous, lanceolate to ovate scales (+ 0--several shorter scales)",achene,y,,,PD,genus
y,Helianthus niveus ssp. canescens,,Helianthus niveus,HELNIVC,HELNIV,HENIC,Asteraceae,forb,native,n,Jepson eflora,Fruit: 3--4.5 mm; pappus scales 1.5--3 mm + 0--2 shorter scales.,achene,y,,,PD,genus
y,Helianthus petiolaris ssp. fallax,,Helianthus petiolaris ssp. fallax,HELPETF,HELPET,HEPEF,Asteraceae,forb,native,n,Jepson eflora,"ray flowers sterile; oblanceolate to obovate, +- compressed, sides rounded; pappus generally of 2 deciduous, lanceolate to ovate scales (+ 0--several shorter scales)",achene,y,,,PD,
y,Heliomeris longifolia var. annua,,Heliomeris longifolia var. annua,HELLONA,HELLON,HELOA2,Asteraceae,forb,native,n,Jepson eflora,"ray flowers sterile; oblanceolate to obovate, +- compressed, sides rounded; pappus generally of 2 deciduous, lanceolate to ovate scales (+ 0--several shorter scales)",achene,y,,,,
y,Hemizonia congesta,,Hemizonia congesta,HEMCON,HEMCON,HECO7,Asteraceae,forb,native,n,Jepson eflora,"Fruit: ray fruit 2--3.5 mm, nearly round in ×-section (except +- flattened adaxially) or +- 3- angled (abaxially generally +- widely 2-faced, adaxially +- flattened to slightly bulging), glabrous, black, tip sometimes beaked, beak inconspicuous, straight, diam > length, pappus 0; disk fruit 0, pappus 0.",achene,y,,,,
y,Heterotheca sessiliflora,,Heterotheca sessiliflora,HETSES,HETSES,HESE,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 1.5--4.5 mm; ray and disk fruit similar, +- strigose; outer pappus 0.25--0.5 mm, inner 5--8(10) mm.",achene,n,,,ND,genus
y,Holocarpha virgata,,Holocarpha virgata,HOLVIR,HOLVIR,HOVI,Asteraceae,forb,native,y,Jepson eflora,"Fruit: ray fruit +- 2.5--4 mm, nearly round in ×-section (except +- flattened adaxially) or +- 3- angled (abaxially generally +- widely 2-faced, adaxially +- flattened to slightly bulging), glabrous, tip beaked, beak adaxial, ascending, pappus 0; disk fruit +- club-shaped, glabrous, tip beakless, pappus 0",achene,y,,,,
y,Hypochaeris glabra,,Hypochaeris glabra,HYPGLA,HYPGLA,HYGL2,Asteraceae,forb,invasive,y,Jepson eflora,"Fruit: outer fruit 3--4 mm, cylindric, tapered to base, pappus bristles densely plumose in proximal 1/3; inner fruit longer, fusiform, beak <= body, pappus bristles 6--10 mm, lightly plumose throughout.",achene,y,,,PD/ND,genus
n,Lactuca serriola,,Lactuca serriola,LACSER,LACSER,LASE,Asteraceae,forb,invasive,n,Jepson eflora,"Fruit: body 2.5--3.5 mm, light to dark brown, rough-hairy, unwinged, faces 5--7-ribbed, beak 2.5--4 mm, thread-like; pappus 3.5--5 mm, white.",achene,y,,,ND,
y,Laennecia coulteri,,Laennecia coulteri,LAECOU,LAECOU,LACO13,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 0.5--1 mm, pale tan; pappus (2.5)3.5--4 mm, +- white.",achene,n,,,,
y,Lagophylla minor,,Lagophylla minor,LAGMIN,LAGMIN,LAMI,Asteraceae,forb,native,n,Jepson eflora,"Fruit: shiny, not striate.",achene,y,,,,
y,Lasthenia californica,,Lasthenia californica,LASCAL,LASCAL,LACA7,Asteraceae,forb,native,n,Jepson eflora,"Fruit: < 4 mm, linear to narrowly club-shaped, glabrous or hairy, black to gray or silver-gray; pappus of 1--7 clear, brown, linear to awl-like scales, or 0",achene,y,,,PD,genus
y,Lasthenia coronaria,,Lasthenia coronaria,LASCOR,LASCOR,LACO7,Asteraceae,forb,native,y,Jepson eflora,"Fruit: < 2.5 mm, linear to narrowly club-shaped, hairy, black; pappus generally of 5--6+ lanceolate to ovate scales or 4--5 oblong, truncate scales or 0, generally different in ray and disk fruits.",achene,y,,,PD,genus
y,Lasthenia minor,,Lasthenia minor,LASMIN,LASMIN,,Asteraceae,forb,native,n,Jepson eflora,"Fruit: < 2.6 mm, narrowly club-shaped, glabrous or hairy, black; pappus of 2--3(4) narrowly tapered to lanceolate, brown or white awns intermixed with 4--5+ +- truncate, fringed shorter scales, or 0.",achene,,,,PD,genus
y,Layia glandulosa,,Layia glandulosa,LAYGLA,LAYGLA,LAGL5,Asteraceae,forb,native,y,Jepson eflora,"Fruit: ray fruit glabrous; disk pappus of 10--15 scales, 2--5 mm, +- equal, linear and long-tapering or awl-shaped, white, scabrous and proximally plumose, often woolly on adaxial face",achene,y,,,,
y,Layia platyglossa,,Layia platyglossa,LAYPLA,LAYPLA,LAPL,Asteraceae,forb,native,y,Jepson eflora,"Fruit: ray fruit glabrous or sparsely hairy, dull; disk pappus of (0 or 11)14--32 bristles or bristle-like scales, 1--6 mm, +- equal, white to +- brown, generally scabrous throughout, generally not plumose and not adaxially woolly, sometimes short-plumose proximally and woolly adaxially in SW",achene,y,,,,
y,Leptosyne bigelovii,,Leptosyne bigelovii,LEPBIG,LEPBIG,COBI,Asteraceae,forb,native,y,Jepson eflora,"Fruit: ray fruit 3.5--6 mm, oblong to obovate, glabrous, brown or splotched with tan, rough, wing narrow, pappus 0; disk fruit 4--6 mm, oblong to oblanceolate, dark brown or splotched with tan, shiny, outer face glabrous, inner face with central row of hairs, margins ciliate, hairs 1--1.5 mm; pappus scales 1.7--2.8 mm, lanceolate.",achene,na,ray yes disc no,,PD,Coreopsis
y,Logfia filaginoides,Filago californica,Logfia filaginoides,LOGFIL,LOGFIL,LOCA19,Asteraceae,forb,native,y,Jepson eflora,"Fruit: outer 0.9--1 mm, +- straight; pappus bristles of inner 17--23+, 1.9--3 mm.",achene,n,,,PD,genus
y,Logfia gallica,Filago gallica,Logfia gallica,LOGGAL,LOGGAL,,Asteraceae,forb,invasive,y,Jepson eflora,"Fruit: outer bent inward, 0.9--1 mm; pappus bristles of inner 18--28+, 2.2--3 mm.",achene,n,,,PD,genus
y,Machaeranthera tagetina,,Machaeranthera tagetina,MACTAG,MACTAG,MATA,Asteraceae,forb,native,n,SEINet,Cypselae: 2-3.5(-4) mm; pappi 2-8 mm.,achene,n,,,ND,genus
y,Madia elegans,,Madia elegans,MADELE,MADELE,MAEL,Asteraceae,forb,native,n,Jepson eflora," Fruit: ray fruit compressed or +- 3-angled, slightly rounded abaxially, angled 15--45° adaxially, black or brown, occasionally mottled, dull or glossy, +- beakless; disk fruit 0",achene,y,,,PD,
y,Madia gracilis,,Madia gracilis,MADGRA,MADGRA,,Asteraceae,forb,native,n,SEINet,"Ray cypselae black, purple, or mottled, dull, compressed, beakless (or nearly so). Disc cypselae similar. ",achene,y,,,PD,genus
y,Malacothrix coulteri,,Malacothrix coulteri,MALCOU,MALCOU,,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 1.6--3.2 mm, prominent ribs, +- winged, extending beyond tip; outer pappus teeth uneven, bristles 2--6.",achene,,,,,
y,Malacothrix fendleri,,Malacothrix fendleri,MALFEN,MALFEN,MAFE,Asteraceae,forb,native,n,SEINet ,"Ligulate. Cypselae ± cylindric, 1.8-2.4 mm (distal 0.3 mm slightly expanded, cupped, smooth), ribs not extending to apices, ± equal; persistent pappi of 12-15, ± deltate teeth (often hidden within cups at apices of cypselae) plus 1-2 bristles.",achene,n,,,,
y,Malacothrix glabrata,,Malacothrix glabrata,MALGLA,MALGLA,MAGL3,Asteraceae,forb,native,n,Jepson eflora & SEINet,"Ligulate. Fruit: 2--3.3 mm; outer pappus of irregular teeth, bristles 1--5. L Cypselae ± cylindro-fusiform (sometimes weakly 5-angled), 2-3.3 mm, ribs extending to apices, usually ± equal; persistent pappi of 0-12+, blunt to acute teeth plus 1-2(-5) bristles. ",achene,n,,,,
y,Micropus californicus,,Micropus californicus,MICCAL,MICCAL,MICA,Asteraceae,forb,native,n,SEINet & Jepson eflora,"Cypselae 1.4-2.6 mm, corolla scars ± median; pappi: staminate 0 or of 1, ± smooth bristle 0.9-1.5 mm. Fruit: 1.4--2.6 mm; disk pappus 0 or of 1 bristle, 0.9--1.5 mm.",achene,n,,,,
y,Microseris douglasii,,Microseris douglasii,MICDOU,MICDOU,MIDO,Asteraceae,forb,native,n,Jepson eflora,"Fruit: gray to brown or +- black, often dark-spotted; outermost fruits generally hairy; pappus scales <= 5, silvery to +- black, often hairy, bristles 1--8 mm, +- strongly barbed.",achene,y,,,PD,genus
y,Microseris elegans,,Microseris elegans,MICELE,MICELE,MIEL,Asteraceae,forb,native,n,Jepson eflora,"Ligulate. Cypselae columnar to obconic, 1.5–3 mm; pappi of (4–)5 white or brownish, ovate to deltate, aristate scales 0.2–2.5 mm (straight or slightly arcuate, scarcely involute.",achene,n,,,PD,genus
y,Monolopia lanceolata,,Monolopia lanceolata,MONLAN,MONLAN,,Asteraceae,forb,native,y,SEINet & https://www.jstor.org/stable/pdf/41422374.pdf?casa_token=0DHPq_yjPC0AAAAA:6uYeJAlW3xEJHQgvRMLmEtvbRz3cJALLsvHgvN1Y83CfomQMOAfLG5a6MLlaCQBQhMtWw6CnjiQg8tvoivkxULEpPzPj7ALeJF-M9YJLKFLiXkrRKu2Fjg,"Cypselae obcompressed, 2-4 mm, 3-angled (ray), 4-angled (disc), uniformly gray-strigose. SOURCE 2: se; achenes uniformly and
 densely (rarely sparsely) gray-strigulose, ray achenes obcom-
 pressed, convex, flat or subcarinate dorsally, 2.2-3.8 mm. (rarely
 2 mm.) long, 1.3-1.5 mm. broad, .6-1.1 mm. thick, disk achenes
 noticeably obcompressed, obtusely angled or carinate dorsally and
 ventrally, sometimes asymmetrically so, 2.2-3.8 mm. (rarely 2
 mm.) long, 1.2-1.5 mm. broad, .5- .8 mm. thic",achene,,,,,
y,Monoptilon bellioides,,Monoptilon bellioides,MONBEL,MONBEL,MOBE2,Asteraceae,forb,native,n,Jepson & SEINet,"*No info on seed. disk and ray flowers. Fruit: 1.5--2 mm. Pappi outer crowns of paleae or narrow squamellae 0.5-1 mm plus inner of 8-15 barbellate bristles, length 1 / 2 - 1 / 3 disc corollas",achene,y,,,,
y,Osmadenia tenella,,Osmadenia tenella,OSMTEN,OSMTEN,OSTE,Asteraceae,forb,native,y,SEINet & Jepson eflora,"Cypselae (rays) 1.8-2.7 mm, beaks 0.3 mm, or (discs) 2-2.5 mm. Fruit: ray fruit 1.8--2.7 mm, back rounded to angled, rough, glabrous, adaxial face +- flat, beak short, adaxially off-center, pappus 0; disk fruit +- angled, tapered at base, +- thinly hairy, pappus of +- 8 scales, long and short. ",achene,na,ray yes disc no,,,
y,Palafoxia arida,,Palafoxia arida,PALARI,PALARI,PAAR8,Asteraceae,forb,native,n,Jepson eflora &SEINet," Cypselae 10-16 mm; pappus scales of inner cypselae 8-12 mm. Disk and ray florets. Fruit: 10--15 mm, +- strigose; pappus of outer fruit 0 or of 3--8 scales of varying length; pappus of inner fruit of 4 scales 8--12 mm, and 4 shorter scales. ",achene,n,,,PD,genus
y,Palafoxia arida var. arida,,Palafoxia arida,PALARIA,PALARI,PAARA2,Asteraceae,forb,native,n,https://www.jstor.org/stable/pdf/23313609.pdf?casa_token=dLrWx7tC_tUAAAAA:5_ZAw74Im0Mrubh7JoAoDusz1_WWvO2FhpOOdCxajaT7r6lz5rVWs1ud31JRKgwAj0UIbKR2JlwJMPtMRVwF8cf8ZQUmc80es4TOAKCUD91FAVWJJAvMog,"achenes 10-15 mm long, linear, 4-sided, densely to sparsely appressed pubes
 cent; pappus scales 4-8 unequal, with pronounced mid-ribs,
 the innermost achenes normally with 4 linear, acute scales
 on the angles, 8-12 mm long, these alternating with 4, much
 shorter, abortive scales; outermost achenes with 3-8 sepa
 rate scales of varying lengths (often completely absent)",achene,y,,,PD,genus
y,Pectis papposa var. papposa,,Pectis papposa var. papposa,PECPAPP,PECPAP,PEPAP3,Asteraceae,forb,native,y,SEINet & Jepson eflora,Radiate head. Cypselae 2-4.5 mm; disc pappi 1-2.5 mm. Fruit: 2--4.5 mm; pappus of ray fruit a low crown; pappus of disk fruit +- 20 +- plumose bristles (rarely a crown).,achene,n,,,,
y,Perityle emoryi,,Perityle emoryi,PEREMO,PEREMO,PEEM,Asteraceae,forb,native,y,SEINet & Jepson eflora,"Cypselae suboblong, oblanceolate, or subcuneate, (1.5-)2-3 mm, margins thin (not calloused), long- or short-ciliate; Fruit: generally 2--3 mm; margins thin, ciliate; ray fruit faces generally +- puberulent; disk fruit faces generally glabrous; pappus scales well developed or vestigial, bristle 0 or 1, 1--2.5 mm.  ",achene,n,,,,
y,Rafinesquia californica,,Rafinesquia californica,RAFCAL,RAFCAL,RACA,Asteraceae,forb,native,n,SEINet & Jepson eflora,"Ligulate. Cypselae light tan or sordid, 9-14 mm, including very slender beaks 5-7 mm; pappi of 6-15, wholly plumose bristles, barbs straight, separate. Fruit: 9--12 mm (body 4--5 mm, beak 5--7 mm); pappus bristles 6--10 mm. ",achene,n,,,PD,
y,Rigiopappus leptocladus,,Rigiopappus leptocladus,RIGLEP,RIGLEP,RILE2,Asteraceae,forb,native,n,SEINet & Jepson eflora,"Radiate. Cypselae 4-5 mm Fruit: 4--5 mm, +- cylindric to spindle-shaped, barely or not compressed, minutely wrinkled, all minutely coarse-hairy or ray fruit +- glabrous in age; pappus generally of 3--5 awl-shaped scales, 1--4+ mm or in rays occasionally much reduced or 0, persistent.",achene,y,,,,
y,Senecio vulgaris,,Senecio vulgaris,SENVUL,SENVUL,SEVU,Asteraceae,forb,invasive,n,SEINet & Jepson eflora,"Cypselae usually sparsely hairy, sometimes nearly glabrous. Fruit: 2--2.5 mm, densely hairy. Discoid head so only disk flowers. ",achene,y,,,PD/ND,
y,Stephanomeria exigua,,Stephanomeria exigua,STEEXI,STEEXI,STEX,Asteraceae,forb,native,n,SEINet & Jepson eflora ,"Cypselae light tan to dark brown, 2.1-6.8 mm, faces smooth to tuberculate, grooved. Ligulate so only ligulate flowers. Fruit: 2.1--6.5 mm; faces smooth to tubercled, grooved; pappus bristles white to tan, variously plumose, generally widened at base, entire pappus generally persistent or only bristle base persistent.",achene,n,,,,
y,Stylocline micropoides,,Stylocline micropoides,STYMIC,STYMIC,STMI2,Asteraceae,forb,native,n,SEINet & Jepson eflora ,"Cypselae 1-1.4 mm, compressed. Only one kind of pistillate floret. Fruit: 1--1.4 mm, compressed laterally; disk pappus bristles 2--5(10), 1.1--2 mm. ",achene,n,,,PD,
y,Trichoptilium incisum,,Trichoptilium incisum,TRIINC,TRIINC,TRIN2,Asteraceae,forb,native,n,SEINet & Jepson eflora ,"Cypselae ca. 3 mm. Discoid or radiant so all one type of floret.  Fruit: 2--3 mm, obpyramidal, glabrous to densely strigose; pappus of 5 scales, each 3--5 mm, dissected into many bristles. ",achene,n,,,,
y,Uropappus lindleyi,Microseris lindleyi,Uropappus lindleyi,UROLIN,UROLIN,MILI5,Asteraceae,forb,native,n,SEINet & Jepson eflora ,"Cypselae 7-17 mm. pappi: scales 5-15 mm, apices notched 1-2 mm, bristles delicate, 4-6 mm. Ligulate. Fruit: 7--17 mm, slender-fusiform, tapered to beak-like tip in California, 10-ribbed, generally +- black, scabrous; pappus scales 5, 5--15 mm, deciduous, smooth, silvery, bristle-tip 4--6 mm, slender, smooth, from notched scale tip.",achene,y,,,PD,Microseris
y,Volutaria tubuliflora,,Volutaria tubuliflora,VOLTUB,VOLTUB,,Asteraceae,forb,invasive,n,Jepson eflora ,"*no info on seed Fruit: 3--3.5 mm, pale gray-brown, ascending-hairy, faces not pitted; pappus scales unequal, <= 3 mm, minutely fringed, outer < inner.",achene,n,,,,
y,Xanthisma gracile,Machaeranthera gracilis,Xanthisma gracile,XANGRA,XANGRA,MAGR10,Asteraceae,forb,native,n,SEINet,"Cypselae narrowly obovoid to oblanceoloid, 1.5-2.8 mm, nerves 24-28, faces sparsely whitish hairy; pappi whitish to tawny, 4-5 mm, bristles progressively longer adaxially. ",achene,n,,,ND,
y,Amsinckia intermedia,,Amsinckia intermedia,AMSINT,AMSINT,AMMEI2,Boraginaceae,forb,native,n,SEINet,"Fruits: Nutlets ovoid, incurved, dorsally keeled, scabrous-rugose, grayish, 1.5-3 mm long.",nutlet,y,,,PD,genus
y,Amsinckia menziesii,,Amsinckia menziesii,AMSMEN,AMSMEN,AMME,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: 2--3.5 mm, +- sharp-tubercled, occasionally ridged. ",nutlet,y,,,PD,genus
y,Amsinckia tessellata,,Amsinckia tessellata,AMSTES,AMSTES,AMTE3,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: 2.5--4 mm, gray, dull, cobblestone-like or round-tubercled, ridged or not. ",nutlet,y,,,PD,genus
y,Cryptantha angustifolia,,Cryptantha angustifolia,CRYANG,CRYANG,CRAN4,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets (3)4, 0.9--1.2 mm (1 generally +- > others), lance-ovate, +- brown, pale-tubercled, margin generally rounded to occasionally +- sharp-angled, base +- rounded; abaxially rounded, generally dull, ridge 0; adaxially flat to +- rounded, +- shiny, attachment scar edges not raised, abutted near tip, narrow-gapped lower 1/2 to +- narrow-gapped entire length, narrow-flared-gapped at base; axis beyond nutlets.",nutlet,y,,,PD,genus
y,Cryptantha barbigera,,Cryptantha barbigera,CRYBAR,CRYBAR,CRBA5,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets ovate to lance-ovate, dense-tubercled, +- brown, occasionally mottled, dull, margin +- rounded, base truncate, tip tapered to +- beaked; abaxially rounded, ridge 0; adaxially flat, attachment scar edges not raised, abutted entire length or variously gapped, triangular-flare-gapped at base; axis to nutlets or beyond.",nutlet,y,,,PD,genus
