"Species_Name","ID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Elymus caput-medusae","1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Erodium cicutarium","1.4",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"Festuca microstachys","1.4",1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"Hemizonia congesta","1.4",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lasthenia californica","1.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","1.4",1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1
"Plagiobothrys nothofulvus","1.4",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"Plantago erecta","1.4",1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0
"Acmispon wrangelianus","1.5",1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0
"Avena fatua","1.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","1.5",1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1
"Centaurea solstitialis","1.5",1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
"Elymus caput-medusae","1.5",1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0
"Festuca microstachys","1.5",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lupinus succulentus","1.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microsteris gracilis","1.5",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon brachycarpus","2.1",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Agoseris heterophylla","2.1",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"Astragalus gambelianus","2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Bromus hordeaceus","2.1",1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
"Calycadenia pauciflora","2.1",1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"Cerastium glomeratum","2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilia capitata","2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilia tricolor","2.1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","2.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Minuartia californica","2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago erecta","2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"Rigiopappus leptocladus","2.1",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"Thysanocarpus curvipes","2.1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium albopurpureum","2.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Trifolium fucatum","2.1",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
"Acmispon brachycarpus","2.2",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"Ancistrocarphus filagineus","2.2",1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1
"Bromus hordeaceus","2.2",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"Collinsia sparsiflora","2.2",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"Hemizonia congesta","2.2",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"Hordeum marinum","2.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasthenia californica","2.2",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
"Navarretia pubescens","2.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rigiopappus leptocladus","2.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium albopurpureum","2.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Acmispon brachycarpus","2.3",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ancistrocarphus filagineus","2.3",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Athysanus pusillus","2.3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","2.3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","2.3",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Clarkia purpurea","2.3",1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Hemizonia congesta","2.3",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
"Lasthenia californica","2.3",1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
"Trifolium fucatum","2.3",1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Acmispon brachycarpus","2.4",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
"Athysanus pusillus","2.4",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bromus hordeaceus","2.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"Clarkia gracilis","2.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Clarkia purpurea","2.4",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia crenulata","2.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","2.4",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
"Trifolium albopurpureum","2.4",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Trifolium fucatum","2.4",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"Agoseris heterophylla","2.5",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"Bromus hordeaceus","2.5",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia gracilis","2.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarkia purpurea","2.5",1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Claytonia parviflora","2.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia crenulata","2.5",1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0
"Hemizonia congesta","2.5",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Trifolium albopurpureum","2.5",1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"Trifolium fucatum","2.5",1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0
"Acmispon brachycarpus","3.1",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
"Acmispon wrangelianus","3.1",1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"Agoseris heterophylla","3.1",1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1
"Astragalus gambelianus","3.1",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"Athysanus pusillus","3.1",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Avena fatua","3.1",1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
"Bromus hordeaceus","3.1",1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"Bromus madritensis","3.1",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Calycadenia pauciflora","3.1",1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"Chorizanthe membranacea","3.1",1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1
"Clarkia gracilis","3.1",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Festuca microstachys","3.1",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
"Gilia tricolor","3.1",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Hemizonia congesta","3.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holocarpha virgata","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Lagophylla minor","3.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","3.1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Minuartia douglasii","3.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago erecta","3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rigiopappus leptocladus","3.1",1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Trifolium albopurpureum","3.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon brachycarpus","3.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Acmispon wrangelianus","3.2",1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
"Agoseris heterophylla","3.2",1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1
"Amsinckia menziesii","3.2",1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
"Athysanus pusillus","3.2",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bromus hordeaceus","3.2",1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
"Chorizanthe membranacea","3.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"Clarkia gracilis","3.2",1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
"Clarkia purpurea","3.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Festuca microstachys","3.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hemizonia congesta","3.2",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Holocarpha virgata","3.2",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Lasthenia californica","3.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lupinus bicolor","3.2",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
"Plantago erecta","3.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Acmispon wrangelianus","3.3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Agoseris heterophylla","3.3",1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
"Ancistrocarphus filagineus","3.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarkia gracilis","3.3",1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0
"Clarkia purpurea","3.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsia sparsiflora","3.3",1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1
"Festuca myuros","3.3",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gilia tricolor","3.3",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Hemizonia congesta","3.3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Holocarpha virgata","3.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lasthenia californica","3.3",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Plantago erecta","3.3",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Acmispon brachycarpus","3.4",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Acmispon wrangelianus","3.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agoseris heterophylla","3.4",1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
"Ancistrocarphus filagineus","3.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bromus hordeaceus","3.4",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
"Bromus madritensis","3.4",1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","3.4",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Clarkia gracilis","3.4",1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"Clarkia purpurea","3.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Elymus caput-medusae","3.4",1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
"Festuca microstachys","3.4",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"Plantago erecta","3.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rigiopappus leptocladus","3.4",1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
"Sidalcea diploscypha","3.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bromus hordeaceus","3.5",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Bromus madritensis","3.5",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Centaurea solstitialis","3.5",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
"Clarkia gracilis","3.5",1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Elymus caput-medusae","3.5",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1
"Erodium cicutarium","3.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","3.5",1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"Lupinus bicolor","3.5",1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Plantago erecta","3.5",1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Rigiopappus leptocladus","3.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium hirtum","3.5",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Acmispon wrangelianus","4.1",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Agoseris heterophylla","4.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calycadenia pauciflora","4.1",1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia gracilis","4.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarkia purpurea","4.1",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Elymus caput-medusae","4.1",1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
"Festuca microstachys","4.1",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
"Hemizonia congesta","4.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"Microsteris gracilis","4.1",1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0
"Plantago erecta","4.1",1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Acmispon wrangelianus","4.2",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Bromus madritensis","4.2",1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"Calycadenia pauciflora","4.2",1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia gracilis","4.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsia sparsiflora","4.2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia crenulata","4.2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microsteris gracilis","4.2",1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"Plantago erecta","4.2",1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Sidalcea diploscypha","4.2",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Trifolium fucatum","4.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agoseris heterophylla","4.3",1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Ancistrocarphus filagineus","4.3",1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1
"Astragalus gambelianus","4.3",1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1
"Bromus madritensis","4.3",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Calycadenia pauciflora","4.3",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia purpurea","4.3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","4.3",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"Minuartia douglasii","4.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarretia pubescens","4.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago erecta","4.3",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Acmispon wrangelianus","4.4",1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"Agoseris heterophylla","4.4",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Bromus madritensis","4.4",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calycadenia pauciflora","4.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castilleja rubicundula","4.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarkia purpurea","4.4",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","4.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Holocarpha virgata","4.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasthenia californica","4.4",1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
"Lysimachia arvensis","4.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Navarretia pubescens","4.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago erecta","4.4",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
"Acmispon wrangelianus","4.5",1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0
"Ancistrocarphus filagineus","4.5",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Astragalus gambelianus","4.5",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athysanus pusillus","4.5",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarkia purpurea","4.5",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","4.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lagophylla minor","4.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasthenia californica","4.5",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarretia pubescens","4.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rigiopappus leptocladus","4.5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agoseris heterophylla","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ancistrocarphus filagineus","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bromus hordeaceus","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Clarkia purpurea","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsia sparsiflora","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elymus caput-medusae","5.1",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"Hemizonia congesta","5.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Holocarpha virgata","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasthenia californica","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus succulentus","5.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microsteris gracilis","5.1",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Plantago erecta","5.1",1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"Sidalcea diploscypha","5.1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
